Subrotinas

0090	sub1
009C	sub2
00A9	sub6
00BD	sub3
00D8	sub4
00F0	sub5
0140	sub11
0152	sub7
0161	sub12
016E	sub9
0186	sub10
01EA	sub13
0434	sub14
0441	sub15
045E	sub16
0471	sub17
048F	sub18
048B	sub19
0517	sub20
0532	sub21
053F	sub22
0550	sub23
0454	sub24

Jumps

0023	jmp1
0017	jmp2
0032	jmp3
0077	jmp4
0083	jmp5
0069	jmp6
01F4	jmp7
0052	jmp8
0055	jmp9
00B3	jmp10
00D6	jmp11
00EB	jmp12
00DE	jmp13
00FD	jmp14
01FE	jmp15
021E	jmp16
030A	jmp17
031B	jmp18
01E2	jmp19
0369	jmp20
0360	jmp21
0376	jmp22
03B4	jmp23
03A4	jmp24
04A3	jmp25
039B	jmp26
00A0	jmp27
057D	jmp28
03DA	jmp29
03DF	jmp30
03E4	jmp31
03C4	jmp32
03CF	jmp33
03FF	jmp34
0358	jmp35
03E7	jmp36
0575	jmp37
0439	jmp38
0464	jmp39
047F	jmp40
0486	jmp41
0491	jmp42
0497	jmp43
04A9	jmp44
04B4	jmp45
04BE	jmp46
04AD	jmp47
